"Nicknames","Names"
"Vere, Veri, Verl"," Xaver"
"Xare, Xavi, Xaverl, Xide, Xav"," Xaver"
"Bert, Bertl, Berti","Adalbert, Albert, Engelbert, Herbert, Hubert, Berthold, Suitbert, Rupert, Robert"
"Doilfal, Doilferl, Dolferl, Dolfal","Adolf"
"Ade, Adi","Adolf, Adalbert, Adrian"
"Xandi, Xand","Alexander"
"Fonse, Fons","Alfons"
"Fonse, Fonsi, Fone","Alfons"
"Fred, Fredl","Alfred"
"Ali, Alies, Alise, Alisi, Loisl","Alois"
"Lois, Loisl, Loise, Loisi, Loisei, Luis, Luisl, Luisele","Alois"
"Anderl, Ande, Andi, Anda","Andreas"
"Tont, Tonerl, Donerl, Dane, Dannerl, Done","Anton"
"Tone, Tonal, Tonerl","Anton"
"Gustel, Gustl, Guste","August"
"Baldi","Balthasar"
"Hausl, Baldi","Balthasar"
"Barthl","Bartholomäus"
"Bene, Benny","Benedikt, Benno, Benjamin"
"Hartl, Bernd","Bernhard"
"Blase","Blasius"
"Chris","Christian, Christoph"
"Grisch","Christian, Christoph"
"Stoffe, Stoffl, Stofferl","Christoph"
"Donisl","Dionysius"
"Edi, Ederl","Eduard, Edmund"
"Stachus","Eustachius"
"Ferdl, Fend","Ferdinand"
"Fidl","Fidelius"
"Flore, Flori, Flo","Florian"
"Franze, Franzi, Franzl","Franz"
"Fridl","Fridolin"
"Fritz, Friedl","Friedrich"
"Girgl, Irgei, Schorsch, Schos","Georg"
"Schoasch, Schorschl, Schore, Schosch, Schoos, Schosl, Schurli, Schurl, Schorsch","Georg"
"Goge, Goga, Godei, Gottl","Gottfried"
"Gore","Gregor"
"Heini","Heinrich"
"Naze, Nazi, Naaz, Nadsl","Ignaz"
"Ise, Isi","Isidor"
"Jackl, Jock, Jocke, Jockei","Jakob"
"Jacherl, Jaherl","Joachim"
"Hans, Hanse, Hansi, Hansl, Hansei, Hanni, Haane, Hannas","Johann, Johannes, Hannes"
"Sepp, Seppe, Seppi, Seppl, Sepperl, Seppei","Joseph"
"Sepp, Bepperl, Beppe, Beppi, Beppo","Joseph, Josef"
"Kare, Karle, Karli","Karl"
"Kaschba, Koschba","Kaspar"
"Kone, Koni, Kon","Konrad"
"Bini","Korbinian"
"Korbe, Korbi, Korwe, Kurwe","Korbinian"
"Laure","Laurentius    "
"Hartl, Harte","Leonhard, Hartmut, Bernhard"
"Polde, Poldi, Poidl","Leopold"
"Leo, Poldi","Leopold, Leonhard"
"Lenz, Lenzei, Lenze","Lorenz, Laurentius"
"Lugg, Lugge, Luggi, Wickerl","Ludwig"
"Wick, Wiggl, Wigge, Wiggi, Wiggerl, Wack, Wigg","Ludwig"
"Lucki","Lukas     "
"Mertl","Mamertus"
"Mane, Mani","Manfred"
"Marine, Marini, Nussi, Mareale","Marinus"
"Max","Markus"
"Martl, Mascht, Maddl, Maschdei, Marte, Mortl, Mäat, Märt, Mart","Martin"
"Hias","Matthias, Mathias"
"Hias, Hiasl","Matthias, Mathias, Matthäus"
"Max, Maxi, Maxl","Maximilian"
"Maiche, Maichi","Melchior"
"Michl, Miche/i, Miche, Mihe, Michei, Mich","Michael"
"Momo, Mo, Mitzi","Moritz"
"Bäda","Peter       "
"Fips","Philip"
"Quire, Quiri, Quirl","Quirin"
"Reine","Reinhold, Reinhard"
"Remme, Remmi","Remigius"
"Muck","Remigius , Nepomuk"
"Rude, Rudi, Rudl, Rul","Rudolf"
"Bare","Rupert"
"Rups","Rupert"
"Baste, Basti, Bastian, Bastl, Wastl, WÃ sch, Wast, Bast","Sebastian"
"Wast, Waste, Wasti, Wastl, WÃ sch","Sebastian"
"Siege, Siegi, Siggi, Sigi","Siegfried"
"Festl, Fesl","Silvester"
"Simmal","Simon"
"Steffl, Steffe, Steffi, Stefferl, Steff","Stefan, Stephan"
"Dama, Damal, Douma","Thomas"
"Vale","Valentin"
"Voitl","Valentin"
"Viez, Vinz","Vinzenz"
"Zenz","Vinzenz, Innozenz"
"Veitl, Veit","Vitus"
"Woife, Woifi, Woiferl, Wolle","Wolfgang, Wolfram"
